Number of nodes 316 
   456 :    249    270    176
   457 :    117    266    265
   458 :    206    309    207
   459 :      9    298     89
   460 :    267    268     61
   461 :    105    268    267
   462 :     44    300    275
   463 :    200    295    199
   464 :    131    293     55
   465 :    234    292    130
   466 :    231    315    232
   467 :    247    306    177
   468 :    169    288    243
   469 :    252    291    232
   470 :    265    266     74
   471 :    283    292    234
   472 :     31    304     30
   473 :    289    300     45
   474 :    225    296    122
   475 :    241    315    231
   476 :     45    300     44
   477 :    195    308    180
   478 :    203    314    218
   479 :    201    301    140
   480 :     41    273    254
   481 :     81    299     80
   482 :    286    304    111
   483 :    223    307    224
   484 :     56    305    131
   485 :     54    293    255
   486 :     49    313     48
   487 :     18    310     17
   488 :    125    302    146
   489 :    224    307    244
   490 :    256    290    196
   491 :    254    311    135
   492 :    238    296    175
   493 :     96    306     97
   494 :     88    298      8
   495 :    146    302    259
   496 :    248    314    121
   497 :    244    307    172
   498 :    246    309    206
   499 :    264    312    178
   500 :    129    315    241
   501 :    130    292    263
   502 :    199    297    261
   503 :    259    302    214
   504 :    218    314    248
   505 :    181    311    254
   506 :    276    310    188
   507 :     30    304    286
   508 :    153    312    264
   509 :    226    297    295
   510 :    295    297    199
   511 :     17    310    276
   512 :      4    282      5
   513 :     16    282     15
   514 :     16    276      5
Number of domains 4
  Domain :      0 
  Name : Circle1
  Number of elements :      7
     0     1     2     3     4     5     6
  Domain :      1 
  Name : Foil
  Number of elements :     86
     7     8     9    10    11    12    13    14    15    16
    17    18    19    20    21    22    23    24    25    26
    27    28    29    30    31    32    33    34    35    36
    37    38    39    40    41    42    43    44    45    46
    47    48    49    50    51    52    53    54    55    56
    57    58    59    60    61    62    63    64    65    66
    67    68    69    70    71    72    73    74    75    76
    77    78    79    80    81    82    83    84    85    86
    87    88    89    90    91    92
  Domain :      2 
  Name : Circle2
  Number of elements :     14
    93    94    95    96    97    98    99   100   101   102
   103   104   105   106
  Domain :      3 
  Name : Circle3
  Number of elements :     14
   107   108   109   110   111   112   113   114   115   116
   117   118   119   120
