Number of nodes 316 
   130 :  1.0000579e+00  2.8065061e-01 
   131 : -1.8456535e+00 -9.7892697e-02 
   132 : -3.9147258e-01 -1.2871318e-01 
   133 :  8.0673556e-01  3.1930205e-01 
   134 :  2.8420564e-01  2.3498626e-01 
   135 : -9.3960844e-01  4.3412062e-01 
   136 : -9.8425561e-01 -1.6187286e-01 
   137 :  1.0014441e+00 -1.1921698e-02 
   138 : -1.8448731e+00  1.6903490e-01 
   139 : -1.6398659e+00  3.7265929e-02 
   140 : -3.1125019e-01  1.4194729e-01 
   141 : -3.7811062e-01  2.0668757e-01 
   142 : -3.9934608e-01  1.1257373e-01 
   143 : -4.7007508e-01  1.7880176e-01 
   144 : -4.9162907e-01  8.3513890e-02 
   145 : -5.6329058e-01  1.5022654e-01 
   146 : -3.5473871e-01  2.9956012e-01 
   147 : -1.1029485e+00  2.5801392e-01 
   148 : -1.0097154e+00  2.3228406e-01 
   149 : -9.8614438e-01  1.3850591e-01 
   150 : -9.1889778e-01  2.0683147e-01 
   151 : -8.9479625e-01  1.0833711e-01 
   152 : -8.2535351e-01  1.7352906e-01 
   153 : -8.0789232e-01  8.1485749e-02 
   154 :  2.9163226e-01  1.0511685e-01 
   155 :  3.7312615e-01  1.6884616e-01 
   156 :  1.1753229e+00  1.0091868e-01 
   157 :  3.7362581e-01  2.6948048e-01 
   158 :  4.5785261e-01  2.1205419e-01 
   159 : -5.8488060e-01  5.4690707e-02 
   160 : -5.3893851e-01  2.4367793e-01 
   161 : -8.7384456e-01  1.3009703e-02 
   162 : -1.6388057e+00  1.6850656e-01 
   163 : -8.4839161e-01  2.7327712e-01 
   164 : -7.5032094e-01  2.4091044e-01 
   165 : -2.4275047e-01 -4.1223992e-03 
   166 : -1.9682963e+00  6.3073557e-02 
   167 : -2.6648088e-01  4.4822492e-01 
   168 : -1.6190370e+00 -5.5234849e-02 
   169 :  3.0394316e-01 -7.4530809e-02 
   170 :  3.7988587e-01  7.8775014e-02 
   171 : -1.1294102e+00 -7.8049290e-02 
   172 : -1.0820283e+00 -1.3427665e-03 
